TT,Tên đơn vị ,,Dân số trung bình,,,,,,,,,,,,,,,,,,,
,,,2014,,2015,,2016,,2017,,2018,,2019,,2020,,2021,,2022,,2023,
,,,Dân số TB,Tốc độ tăng bình quân,Dân số TB,Tốc độ tăng bình quân,Dân số TB,Tốc độ tăng bình quân,Dân số TB,Tốc độ tăng bình quân,Dân số TB,Tốc độ tăng bình quân,Dân số TB,Tốc độ tăng bình quân,Dân số TB,Tốc độ tăng bình quân,Dân số TB,Tốc độ tăng bình quân,Dân số TB,Tốc độ tăng bình quân,Dân số TB,Tốc độ tăng bình quân
Toàn Thành phố ,," 7,170,404 "," 7,358,700 ",2.6," 7,487,671 ",1.8," 7,559,857 ",1.0," 7,657,374 ",1.3," 7,787,260 ",1.7," 8,093,900 ",3.9," 8,246,357 ",1.9," 8,330,834 ",1.0," 8,435,652 ",1.3," 8,587,141 ",1.8
1,Ba Đình,"253,171"," 243,202 ",-3.9," 245,116 ",0.8," 246,068 ",0.4," 246,735 ",0.3,"247,450",0.3,"222,921",-9.9,"225,521",1.2,"225,314",-0.1,"223,000",-1.0,"221,510",-0.7
2,Hoàn Kiếm ,"204,540"," 202,725 ",-0.9," 205,696 ",1.5," 204,043 ",-0.8," 182,943 ",-10.3,"160,393",-12.3,"135,867",-15.3,"139,524",2.7,"139,573",0.0,"140,253",0.5,"141,028",0.6
3,Hai Bà Trưng,"315,600"," 314,217 ",-0.4," 314,788 ",0.2," 316,621 ",0.6," 317,833 ",0.4,"310,159",-2.4,"304,300",-1.9,"303,382",-0.3,"298,348",-1.7,"293,952",-1.5,"295,582",0.6
4,Đống Đa ,"396,106"," 404,887 ",2.2," 411,040 ",1.5," 416,101 ",1.2," 417,637 ",0.4,"422,403",1.1,"372,162",-11.9,"375,016",0.8,"376,860",0.5,"377,919",0.3,"379,102",0.3
5,Thanh Xuân ,"268,461"," 268,563 ",0.0," 273,004 ",1.7," 278,525 ",2.0," 280,250 ",0.6,"278,460",-0.6,"294,080",5.6,"295,850",0.6,"293,218",-0.9,"293,393",0.1,"295,691",0.8
6,Tây Hồ,"145,255"," 154,782 ",6.6," 158,740 ",2.6," 162,217 ",2.2," 164,421 ",1.4,"169,725",3.2,"163,951",-3.4,"164,112",0.1,"165,148",0.6,"166,479",0.8,"169,403",1.8
7,Cầu Giấy,"181,275"," 254,600 ",40.4," 259,584 ",2.0," 264,441 ",1.9," 264,299 ",-0.1,"267,628",1.3,"293,592",9.7,"295,223",0.6,"294,234",-0.3,"294,516",0.1,"297,310",0.9
8,Hoàng Mai ,"362,573"," 366,015 ",0.9," 370,584 ",1.2," 379,483 ",2.4," 387,495 ",2.1,"431,692",11.4,"508,130",17.7,"521,675",2.7,"531,471",1.9,"539,806",1.6,"554,079",2.6
